NTD ID,Agency Name,Reporter Type,Reporting Module,Primary Mode Served,Facility ID,Facility Type,Facility Name,Street Address,City,State,ZIP Code,Latitude,Longitude, Square Feet ,Section of a Larger Facility,Year Built or Reconstructed as New,LonLat,full_address,lon_digits,lat_digits,coordinates,County,Category,Definition
1,King County Department of Metro Transit,Full Reporter,Urban,Streetcar Rail,1849,Simple At-Grade Platform Station,"FHSC: S JACKSON ST BETWEEN 1ST AVE S AND OCCIDENTAL AVE S, C SIDE",S Jackson and Occidental Ave S,Seattle,WA,98104,47.59921,-122.3335,"1,584",0,2014,"(-122.3335, 47.59921)","S Jackson and Occidental Ave S, Seattle, WA ,98104.0",4,5,"(47.5878163, -122.333248)",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Full Reporter,Urban,Streetcar Rail,1850,Simple At-Grade Platform Station,"FHSC: S JACKSON ST BETWEEN 5TH AVE S AND 6TH AVE S, C SIDE",S Jackson and 6th Ave S,Seattle,WA,98104,47.5992,-122.3271,"3,048",0,2014,"(-122.3271, 47.5992)","S Jackson and 6th Ave S, Seattle, WA ,98104.0",4,4,"(47.5725498, -122.3259876)",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Full Reporter,Urban,Streetcar Rail,1851,Simple At-Grade Platform Station,"FHSC: S JACKSON ST BETWEEN 7TH AVE S AND 8TH AVE S, C SIDE",S Jackson and 8th Ave S,Seattle,WA,98104,47.5992,-122.3233,"1,356",0,2014,"(-122.3233, 47.5992)","S Jackson and 8th Ave S, Seattle, WA ,98104.0",4,4,"(47.6061389, -122.3328481)",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Full Reporter,Urban,Streetcar Rail,1852,Simple At-Grade Platform Station,"FHSC: S JACKSON ST BETWEEN 12TH AVE S AND 14TH AVE S, C SIDE",S Jackson and 14th Ave S,Seattle,WA,98144,47.59921,-122.3157,"1,044",0,2014,"(-122.3157, 47.59921)","S Jackson and 14th Ave S, Seattle, WA ,98144.0",4,5,"(47.5537076, -122.3145837)",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Full Reporter,Urban,Streetcar Rail,1853,Simple At-Grade Platform Station,"FHSC: 14TH AVE S BETWEEN S WASHINGTON ST AND S MAIN ST, C SIDE",14th Ave S and S Main St,Seattle,WA,98144,47.60063,-122.3142,"1,056",0,2014,"(-122.3142, 47.60063)","14th Ave S and S Main St, Seattle, WA ,98144.0",4,5,"(47.6000151, -122.3141483)",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Full Reporter,Urban,Streetcar Rail,1854,Simple At-Grade Platform Station,"FHSC: E YESLER WAY BETWEEN BROADWAY AND 10TH AVE, S SIDE",E Yesler Way and Broadway,Seattle,WA,98122,47.60165,-122.3201,804,0,2014,"(-122.3201, 47.60165)","E Yesler Way and Broadway, Seattle, WA ,98122.0",4,5,"(47.6016983, -122.320729)",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Full Reporter,Urban,Streetcar Rail,1855,Simple At-Grade Platform Station,"FHSC: E YESLER WAY BETWEEN BROADWAY AND 10TH AVE, N SIDE",E Yesler Way and Broadway,Seattle,WA,98122,47.60176,-122.3202,600,0,2014,"(-122.3202, 47.60176)","E Yesler Way and Broadway, Seattle, WA ,98122.0",4,5,"(47.6016983, -122.320729)",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Full Reporter,Urban,Streetcar Rail,1856,Simple At-Grade Platform Station,"FHSC: BROADWAY BETWEEN TERRACE ST AND JEFFERSON ST, E SIDE",Broadway and Jefferson St,Seattle,WA,98122,47.60546,-122.3207,690,0,2014,"(-122.3207, 47.60546)","Broadway and Jefferson St, Seattle, WA ,98122.0",4,5,"(47.6043314, -122.3253279)",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Full Reporter,Urban,Streetcar Rail,1857,Simple At-Grade Platform Station,"FHSC: BROADWAY BETWEEN BOYLSTON AVE AND MARION ST, W SIDE",Broadway and Marion St,Seattle,WA,98122,47.60979,-122.3209,540,0,2014,"(-122.3209, 47.60979)","Broadway and Marion St, Seattle, WA ,98122.0",4,5,"(47.6098697, -122.3207154)",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Full Reporter,Urban,Streetcar Rail,1858,Simple At-Grade Platform Station,"FHSC: BROADWAY BETWEEN BOYLSTON AVE AND MARION ST, E SIDE",Broadway and Marion St,Seattle,WA,98122,47.60985,-122.3207,600,0,2014,"(-122.3207, 47.60985)","Broadway and Marion St, Seattle, WA ,98122.0",4,5,"(47.6098697, -122.3207154)",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Full Reporter,Urban,Streetcar Rail,1859,Simple At-Grade Platform Station,"FHSC: BROADWAY BETWEEN E PIKE ST AND E PINE ST, W SIDE",Broadway and E Pine St,Seattle,WA,98122,47.61432,-122.3209,720,0,2014,"(-122.3209, 47.61432)","Broadway and E Pine St, Seattle, WA ,98122.0",4,5,"(47.6152501, -122.3207934)",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Full Reporter,Urban,Streetcar Rail,1860,Simple At-Grade Platform Station,"FHSC: BROADWAY BETWEEN E PIKE ST AND E PINE ST, E SIDE",Broadway and E Pine St,Seattle,WA,98122,47.61506,-122.3208,520,0,2014,"(-122.3208, 47.61506)","Broadway and E Pine St, Seattle, WA ,98122.0",4,5,"(47.6152501, -122.3207934)",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Full Reporter,Urban,Streetcar Rail,1861,Simple At-Grade Platform Station,"FHSC: BROADWAY BETWEEN E HOWELL ST AND E DENNY WAY, W SIDE",Broadway and E Denny Way,Seattle,WA,98122,47.61801,-122.321,875,0,2014,"(-122.321, 47.61801)","Broadway and E Denny Way, Seattle, WA ,98122.0",3,5,"(47.6183955, -122.3209886)",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Full Reporter,Urban,Streetcar Rail,1862,Simple At-Grade Platform Station,"FHSC: BROADWAY BETWEEN BOREN AVE AND TERRACE ST, W SIDE",Broadway and Boren Ave,Seattle,WA,98122,47.60497,-122.3209,868,0,2014,"(-122.3209, 47.60497)","Broadway and Boren Ave, Seattle, WA ,98122.0",4,5,"(47.606874, -122.3228806)",King County,6,Modern Streetcar
1,King County Department of Metro Transit,Full Reporter,Urban,Streetcar Rail,1863,Simple At-Grade Platform Station,"SLU: WESTLAKE AVE BETWEEN OLIVE WAY AND STEWART ST, E SIDE",Westlake Ave and Stewart St,Seattle,WA,98101,47.61298,-122.3373,"2,728",0,2007,"(-122.3373, 47.61298)","Westlake Ave and Stewart St, Seattle, WA ,98101.0",4,5,"(47.6132938, -122.3374851)",King County,6,Modern Streetcar
